"Local Authority in England and Health board in Scotland and Wales","long","lat","ONS","05/03","07/03","08/03","09/03","10/03","11/03","12/03","13/03","14/03","15/03","16/03","17/03","18/03","19/03","20/03","21/03","22/03","23/03","24/03","25/03"
"Norfolk",0.964662,52.67111,"E10000020",0,0,0,0,0,0,0,0,0,1,2,3,4,11,17,24,34,35,42,45
"North East Lincolnshire",-0.13927,53.52336,"E06000012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
"North Lincolnshire",-0.5241,53.58645,"E06000013",0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,2,2,3,5,5
"North Somerset",-2.75439,51.39707,"E06000024",0,0,0,0,1,0,0,0,0,0,2,3,4,4,4,5,5,7,21,21
"North Tyneside",-1.50923,55.02896,"E08000022",0,1,1,1,1,2,2,3,2,2,3,3,7,10,12,17,18,18,20,23
"North Yorkshire",-1.55032,54.09371,"E10000023",0,0,0,0,0,0,4,4,2,7,6,8,11,13,14,16,20,24,30,45
"Northamptonshire",-0.86668,52.31105,"E10000021","1 to 4",2,4,4,5,5,5,6,8,9,12,12,15,16,17,20,21,29,37,43
"Northumberland",-2.07521,55.30037,"E06000057",0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,10,10,10,13,19
"Nottingham",-1.16667,52.95419,"E06000018","1 to 4",2,2,2,2,3,3,5,5,5,10,12,14,14,22,22,34,41,49,57
"Nottinghamshire",-1.00656,53.1285,"E10000024",0,3,3,5,5,6,6,6,6,6,14,13,28,29,41,45,60,71,78,92
"Oldham",-2.05274,53.55768,"E08000004","1 to 4",2,2,4,4,4,4,6,6,6,10,10,12,14,14,15,23,28,34,42
"Oxfordshire",-1.29146,51.77155,"E10000025","1 to 4",4,5,5,7,9,17,22,21,24,23,25,34,34,40,44,52,63,69,86
"Peterborough",-0.26874,52.59214,"E06000031","1 to 4",1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,3,6,9
"Plymouth",-4.11299,50.40494,"E06000026",0,0,0,0,0,0,0,1,1,2,2,2,5,7,7,11,11,11,16,21
"Portsmouth",-1.07023,50.80805,"E06000044",0,0,0,0,0,0,0,0,1,1,1,3,4,5,13,22,25,25,29,33
"Reading",-0.99071,51.45302,"E06000038",0,0,0,0,0,0,2,3,3,3,3,3,5,7,7,7,8,8,8,9
"Redbridge",0.070085,51.58589,"E09000026",0,1,1,1,1,1,1,1,1,1,2,4,7,18,27,42,45,51,57,67
"Redcar and Cleveland",-1.00611,54.56752,"E06000003",0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,3,3,3,7,10
"Richmond upon Thames",-0.28914,51.44033,"E09000027",0,0,0,0,1,1,1,1,2,2,2,3,7,12,16,22,25,31,36,44
"Rochdale",-2.14784,53.60741,"E08000005",0,0,0,0,0,1,1,2,2,2,4,4,6,9,12,13,15,19,24,29
"Rotherham",-1.28651,53.39553,"E08000018",0,0,0,0,1,1,1,1,2,2,2,1,4,3,4,6,9,12,16,20
"Rutland",-0.6263,52.66765,"E06000017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salford",-2.38485,53.47927,"E08000006",0,0,0,0,0,0,0,0,0,1,1,4,4,9,10,12,23,25,31,47
"Sandwell",-2.00771,52.51477,"E08000028",0,0,0,0,0,0,0,0,0,1,4,6,6,7,11,15,20,31,47,50
"Sefton",-2.99204,53.4821,"E08000014",0,0,0,0,0,1,1,1,1,1,1,3,4,6,7,7,8,10,13,20
"Sheffield",-1.54254,53.40358,"E08000019",0,0,0,0,0,1,3,3,13,12,15,1,36,40,48,61,82,106,130,174
"Shropshire",-2.73667,52.62212,"E06000051",0,0,0,0,1,2,2,3,3,4,2,2,3,3,3,3,3,10,27,33
"Slough",-0.57617,51.5035,"E06000039",0,0,0,0,1,1,1,2,2,3,2,12,13,17,20,21,21,22,22,22
